発表区域名,発表区域コード,地域名,地域コード,細分地域名,細分地域コード,アメダス番号,アメダス地点名,緯度,経度,標高,予報区域対応取得元,座標標高取得元
東京都,130000,東京地方,130010,東京地方,130010,44132,東京,35.691667,139.75,25,気象庁 forecast_area.json,気象庁 amedastable.json
東京都,130000,伊豆諸島,130100,伊豆諸島北部,130020,44172,大島,34.748333,139.361667,74,気象庁 forecast_area.json,気象庁 amedastable.json
東京都,130000,伊豆諸島,130100,伊豆諸島南部,130030,44263,八丈島,33.121667,139.778333,151,気象庁 forecast_area.json,気象庁 amedastable.json
東京都,130000,小笠原諸島,130040,小笠原諸島,130040,44301,父島,27.091667,142.19,3,気象庁 forecast_area.json,気象庁 amedastable.json
埼玉県,110000,埼玉県,110000,南部,110010,43241,さいたま,35.875,139.586667,8,気象庁 forecast_area.json,気象庁 amedastable.json
埼玉県,110000,埼玉県,110000,北部,110020,43056,熊谷,36.15,139.38,30,気象庁 forecast_area.json,気象庁 amedastable.json
埼玉県,110000,埼玉県,110000,秩父地方,110030,43156,秩父,35.99,139.073333,232,気象庁 forecast_area.json,気象庁 amedastable.json
長野県,200000,長野県,200000,北部,200010,48156,長野,36.661667,138.191667,418,気象庁 forecast_area.json,気象庁 amedastable.json
長野県,200000,長野県,200000,中部,200020,48361,松本,36.246667,137.97,610,気象庁 forecast_area.json,気象庁 amedastable.json
長野県,200000,長野県,200000,中部,200020,48491,諏訪,36.045,138.108333,760,気象庁 forecast_area.json,気象庁 amedastable.json
長野県,200000,長野県,200000,中部,200020,48331,軽井沢,36.341667,138.546667,999,気象庁 forecast_area.json,気象庁 amedastable.json
長野県,200000,長野県,200000,南部,200030,48767,飯田,35.523333,137.821667,516,気象庁 forecast_area.json,気象庁 amedastable.json
新潟県,150000,新潟県,150000,下越,150010,54232,新潟,37.893333,139.018333,4,気象庁 forecast_area.json,気象庁 amedastable.json
新潟県,150000,新潟県,150000,下越,150010,54421,津川,37.671667,139.446667,100,気象庁 forecast_area.json,気象庁 amedastable.json
新潟県,150000,新潟県,150000,中越,150020,54501,長岡,37.45,138.823333,23,気象庁 forecast_area.json,気象庁 amedastable.json
新潟県,150000,新潟県,150000,中越,150020,54841,湯沢,36.941667,138.81,340,気象庁 forecast_area.json,気象庁 amedastable.json
新潟県,150000,新潟県,150000,上越,150030,54651,高田,37.106667,138.246667,13,気象庁 forecast_area.json,気象庁 amedastable.json
新潟県,150000,新潟県,150000,佐渡,150040,54157,相川,38.028333,138.24,6,気象庁 forecast_area.json,気象庁 amedastable.json
神奈川県,140000,神奈川県,140000,東部,140010,46106,横浜,35.438333,139.651667,39,気象庁 forecast_area.json,気象庁 amedastable.json
神奈川県,140000,神奈川県,140000,西部,140020,46166,小田原,35.276667,139.155,14,気象庁 forecast_area.json,気象庁 amedastable.json
